id	site_name	site_code	reference
347	Hierakonpolis	HP	"El Hadidi, M. N., A. G. E.-D. Fahmy, et al. (1996). ""The palaeoethnobotany of locality 11C, Hierakonpolis (3800 - 3500 BC); Egypt. 1. Cultivated crops and wild plants of potential value."" Taeckholmia 16: 45 - 60."
347	Hierakonpolis	HP	Fahmy, A. G., Friedmann, R. F., Fadl, M. (2008). Archaeobotanical Studies at Hierakonpolis Locality HK6: The Pre and Early Dynastic Elite Cemetery. Archéo-Nil No. 18, Mars 2008, 169-183.
1036	Hili N (Al Ain)	HILI	Méry, S. & Tengberg, M. (2009). Food for Eternity? The Analysis of a Date Offering from a 3rd Millennium BC Grave at Hili N, Abu Dhabi (United Arab Emirates. Journal of Archaeological Science. 36:2012-2017.
1051	Hirbemerdon Tepe	HIRB	"Berthon, R. (2013). New data on the exploitation of animal resources in the Upper Tigris River area (Turkey) during the second and first millenia BC. Archaeozoology of the Near East X, pp. 145-161."
349	Hirbet el-Msas (Tel Masos)	HM	Liphschitz, N. and Y. Waisel (1983). Analysis of the botanical material. Ergebnisse der Ausgrabubgen auf der Hirbet el-Msas (Tel Masos) 1972-1975. V. Fritz and A. Kempinski. Wiesbaden, Otto Harrassowitz: 208-213.
350	Hirbet ez-Zeraqon	HEZ	"Riehl, S. (2004). ""Archaeobotany at the Early Bronze Age settlement of Hirbet ez-Zeraqon: a preliminary report."" Zeitschrift des Deutschen Palästina-Vereins 120(2):102-122"
350	Hirbet ez-Zeraqon	HEZ	"Dechert, Birgit (1995). The Bone Remains from Hirbet- ez Zeraqon. In: Buitenhuis, H and Uerpmann, H.-P. (ed.). ICAZ - Archaeozoology of the Near East II. Proceedings of the second international symposium on the archeozoology of southwestern Asia and adjacent areas. Leiden, Backhuys Publishers: 79-87."
353	Horbat Rosh Zayit	HRZ	Kislev, M. E. (2000). Ancient infested wheat and horsebean from Horbat Rosh Zayit. Horbat Rosh Zayit, an Iron Age storage fort and village. Z. Gal and Y. Alexandre. Jerusalem, Israel Antiquities Authority: 206-220.
353	Horbat Rosh Zayit	HRZ	"Horwitz, K. L. (2006). Animal Exploitation - Archeozoological Analysis. In: Gal, Z. and Alexandre, Y. Horbat Rosh Zayit - An Iron Age Storage Fort and Village. Israel Atiquities Authority. Jerusalem."
354	Horum Hüyük	HOR	"Pessin, H. (2004). ""Stratégies d´approvisionnement et utilisation du bois dans le Moyen Euphrate et la Damascène. Approche anthracologique comparative de sites historiques et préhistoriques."" PhD, University of Paris I."
354	Horum Hüyük	HOR	"Bartosiewicz, L. (2005). Animal remains from the excavations of Horum Höyük, Southeast Anatolia, Turkey. Archaeozoology of the Near East X. Proceedings of the sixth international symposium on the archaeozoology of southwestern Asia and adjacent areas. Groningen, pp. 150-162"
355	Horvat Beter	HB	"Zaitschek, D. V. (1961). ""Remains of cultivated plants from Horvat Beter (Beersheba)."" Atiqot 2: 48 - 52."
357	Höyücek	HOY	Martinoli, M. & Nesbitt, M. (2003). Plant Stores at Pottery Neolithic Höyücek, southwest Turkey. Anatolian Studies 53, pp 17-32
357	Höyücek	HOY	no title available
357	Höyücek	HOY	"Duru, R.; De Cupere, B. (2003). Faunal remains from Neolithic Höyücek (SW-Turkey) and the presence of early domestic cattle in Anatolia. Paléorient 29:107-102"
359	Idalion	IDA	Stewart, R. T. (1974). Paleobotanical investigation: 1972 season. American expedition to Idalion, Cyprus. L. Stager, A. Walker and G. E. Wright, Bull. Am. Schools Orient. Res. Suppl. 18: 123 - 129.
362	Ikiztepe	IT	van Zeist, W. (1988). Plant remains from a first Dynasty burial at Tell Ibrahim Awad. The archaeology of the Nile delta: problems and priorities. E. van den Brink. Amsterdam, NFARE: 111 - 113.
363	Ilipinar	ILI	van Zeist, W. and W. Waterbolk-van Rooijen (1995). Floral remains from Late Neolithic Ilipinar. The Ilipinar excavations 1. Five seasons of fieldwork in NW Anatolia, 1987 - 91. J. Roodenberg. Istanbul, Nederland Historical-Archaeological Institute: 159 - 166.
363	Ilipinar	ILI	"Buitenhuis, H. (1995). The Faunal Remains. In: Roodenberg, J. (ed.): The Ilipinar Excavations I - Five Seasons of Fieldwork in NW Anatolia, 1987-91. Leiden: 151-156"
364	Imamoglu	IMA	"Oybak, E. and S. Demirci (1997). ""Early Bronze Age plant remains from Imamoglu Höyük, SE Turkey."" Anatolian Studies 47: 173 - 121."
369	Iolkos	IOL	"Jones, G. (1982). ""Cereal and pulse remains from Protogeometric and Geometric Iolkos, Thessaly."" Anthropologika 3: 75 - 78."
369	Iolkos	IOL	"Renfrew, J. M. (1966). ""A report on recent finds of carbonised cereal grains and seeds from prehistoric Thessaly."" Thessalika 5: 21- 36."
374	Iria	I	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
386	Jaffarabad	JAF	"Miller, N. F. (1983). ""Palaeoethnobotanical results from Bendebal and Jaffarabad."" Cahiers de la Délégation Archéologique Française en Iran 13: 277-284."
1031	Jarma	JARMA	Pelling, R. (2008). Garamantian Agriculture: The Plant Remains from Jarma, Fazzan. Libyan Studies Volume 39. The Society for Libyan Studies.
388	Jawa	JAW	Willcox, G. (1981). Plant remains. Jawa, lost city in the Black Desert. S. W. Helms. London, Methuen: 247-248.
388	Jawa	JAW	"Popkin, P. R. W. (2009). The Society and Economy of Iron Age Transjordan: A Contextual Zooarchaeological Analysis. London."
389	Jebel Abu Thawwab	JAT	"Köhler-Rollefson, I. (2001). The Animal Bones. In: Kafafi, Z. Jebel Abu Thawwab (Er-Rumman), Central Jordan. The Late Neolothic and Early Bronze Age I Occupations. Ex Oriente, Berlin: 211-213."
393	Jericho	J	"Bar-Yosef, O. (1986). ""The walls of Jericho: an alternative explanation."" Current Anthropology 27: 157 - 162."
393	Jericho	J	Hopf, M. (1983). Jericho plant remains. Excavations at Jericho V. The pottery phases of the Tell and other finds. K. M. Kenyon and T. A. Holland. London: 576 - 621.
393	Jericho	J	"Western, A. C. (1971). ""The ecological interpretation of ancient charcoals from Jericho."" Levant 3: 31 - 40."
409	Kalapodi	KAL	"Kroll, H. (1993). ""Kulturpflanzen von Kalapodi."" Archäologischer Anzeiger 2: 161 - 182."
409	Kalapodi	KAL	"Stanzel, M. (1991). Die Tierreste aus dem Artemis-/ Apollon-Heiligtum bei Kalapodi in Böotien/Griechenland. Dissertation. Ludwig-Maximilians-Universität. München."
410	Kalavasos village	KV	"Hansen, J. and I. A. Todd (1979). ""Botanical remains (Vasilikos Valley Project: third preliminary report)."" Journal of Field Archaeology 6: 297-298."
413	Kalopsidha	KALS	Helbaek, H. (1966). What farming produced at Cypriote Kalopsidha. Excavations at Kalopsidha and Ayios Iakovos in Cyprus. P. Aström. London. 2: 116 - 126.
414	Kaman-Kalehöyük	KAMK	Fairbairn, A. (2002). Archaeobotany at Kaman-Kalehöyük 2001. Kaman-Kalehöyük 11. S. Omura, Japanese Institute of Anatolian Archaeology. XI: 201-212.
414	Kaman-Kalehöyük	KAMK	"Fairbairn, A. (2003). ""Archaeobotany at Kaman-Kalehöyük 2002"". In Kaman-Kalehöyük 12, edited by S. Omura, pp. 151-162. Anatolian Archaeological Studies. vol. XII. Japanese Institute of Anatolian Archaeology."
414	Kaman-Kalehöyük	KAMK	"Fairbairn, A. (2004). ""Archaeobotany at Kaman-Kalehöyük 2003"". In Kaman-Kalehöyük 13, edited by S. Omura, pp. 108-120. Anatolian Archaeological Studies. vol. XIII. Japanese Institute of Anatolian Archaeology."
414	Kaman-Kalehöyük	KAMK	"Kennedy, A. (2000). ""Ottoman plant remains from Kaman-Kalehöyük."" Anatolian Archaeological Studies IX: 147- 165."
414	Kaman-Kalehöyük	KAMK	Nesbitt, M. (1993). Ancient crop husbandry at Kaman-Kalehöyük: 1991 archaeobotanical report. Essays on Anatolian Archaeology. T. Mikasa. Wiesbaden, Harrassowitz. 7: 75-97.
414	Kaman-Kalehöyük	KAMK	Nesbitt, M. (1995). Recovery of archaeological plant remains at Kaman-Kalehöyük. Essays on ancient Anatolia and its surrounding civilizations. T. Mikasa. Wiesbaden, Harrassowitz. 8: 115-130.
414	Kaman-Kalehöyük	KAMK	"Atici, A. L. (2005). Centralized or Dezentralized: The Mode of Pastoral Economy at Early Bronze Age Kaman-Kalehöyük. Kaman-Kalehöyük 14: 119-127"
414	Kaman-Kalehöyük	KAMK	"Hongo, H. (1993). Faunal remains from Kaman-Kalehöyük, Turkey: a preliminary analysis. In: Buitenhuis, H. and Clason, A. T. (eds.). Archaeozoology of the Near East - Proceedings of the first international symposium on the archaeozoology of southeastern Asia and adjacent areas. Universal Book Services / Dr. W. Backhuys, Leiden: 67-76."
415	Kamid el-Loz	KEL	Baas, J. (1980). Ein bedeutsamer botanischer Fund der Gattung Echium Linne aus Kamid el-Loz. Bericht über die Ergebnisse in Kamid el-Loz in den Jahren 1968 bis 1970. E. Hachmann. Bonn. 22: 111 - 115.
415	Kamid el-Loz	KEL	Behre, K.-E. (1970). Kulturpflanzenreste aus Kamid el-Loz. Bericht über die Ergebnisse der Ausgrabungen in Kamid el-Loz (Libanon) in den Jahren 1966 und 1967. R. Hachmann. Bonn. IV: 59-69.
415	Kamid el-Loz	KEL	"Bökönyi, S. (1990). Kāmid el-Lōz. Tierhaltung und Jagd. Tierknochenfunde der Ausgrabungen 1964 bis 1981. Saarbrückener Beiträge zu Altertumskunde, Band 42, Bonn."
1023	Karataş-Semayük	KASE	"Hesse, B.; Perkins, D. Jr. (1974). Faunal Remains from Karataş-Semayuk in Southwest Anatolia: An Interim Report. Journal of Field Archaeology 1 1/2, pp. 149-160."
430	Kastanas	KAS	Kroll, H. (1983). Kastanas. Die Pflanzenfunde. Berlin, Volker Spiess.
430	Kastanas	KAS	Kroll, H. (1984). Bronze Age and Iron Age agriculture in Kastanas, Macedonia. Plants and ancient man. W. van Zeist and W. A. Casparie. Rotterdam, Balkema: 243 - 246.
1048	Kavuşan Höyük	KAVU	"Berthon, R. (2013). New data on the exploitation of animal resources in the Upper Tigris River area (Turkey) during the second and first millenia BC. Archaeozoology of the Near East X, pp. 145-161."
438	Kellis	K	Thanheiser, U. (1999). Plant remains from Kellis: first results. Dakhleh Oasis Project: Preliminary reports on the 1992 - 1993 and 1993 - 1994 field seasons. C. A. Hope and A. C. Mills. Oxford, Oxbow. 8: 89 - 93 & bib.
439	Kenan Tepe	KT	"Ekstrom, H. (2003). ""Archaeobotanical remains (in: Parker, Bradley J. et al., The upper Tigris archaeological research project (UTARP): a preliminary report from the 2001 field season: 101-174)."" Anatolica 29: 121-125."
440	Kephallenia	KEPH	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
455	Khirbat al-Mudaybi	KAM	Bogaard, A. and M. Charles (1999). Addendum: summary of archaeobotanical work at al-Mudaybi'. Al-Karak resources project 1997: excavations at Khirbat al-Mudaybi'. G. e. a. Mattingly. 43: 140-143.
456	Khirbat Faris	KF	Charles, M. and C. F. Hoppe (1997-1998). The archaeobotanical remains. Mamluk Khirbat Faris. The Mamluks and the Early Ottoman period in Bilad al-Sham: History and archaeology. A. M. e. a. McQuitty. 9-10: 194-198, 223-226.
457	Khirbet en-Nahas	KEN	Baierle, H. U., W. Frey, et al. (1989). Die Brennstoffresourcen im Raum Fenan (Wadi Araba,Jordanien) und die bei der Kupfererzverhüttung verwendeten Brennstoffe. Old World Archaeometallurgy. A. Hauptmann, E. Pernicka and G. A. Wagner. Bochum. 7: 213 - 222.
457	Khirbet en-Nahas	KEN	"Engel, T. (1993). ""Archaeobotanical analysis of timber and firewood used in third millenium houses at Tall Bderi / Northeast-Syria."" Houses and Households: 105 - 115."
1022	Khirbet er-Rasm	KRAS	"Weiss, E. (2011). Plant Remains. In The Excavations of Khirbet er-Rasm, Israel. The Changing Faces of the Countryside. BAR International Series 2187."
458	Khirokitia	KHIR	Hansen, J. (1989). Khirokitia Plant Remains: Preliminary Report (1980 - 1981, 1983). Fouilles recentes a Khirokitia (Chypre) 1983 - 1986. A. LeBrun. Paris, Editions Recherches sur les Civilisations Memoire. 81: 235 - 250.
458	Khirokitia	KHIR	Hansen, J. (1991). Palaeoethnobotany in Cyprus: recent research. In New light on early farming, edited by J. M. Renfrew, pp. 225-236. Edinburgh University Press, Edinburgh.
458	Khirokitia	KHIR	Hansen, J. (1994). Khirokitia Plant Remains: Preliminary Report (1986, 1988 - 1990). Fouilles récentes à Khirokitia (Chypre) 1988 - 1991. A. LeBrun. Paris, Editions Recherches sur les Civilisations Memoire. LXXI: 3: 393 - 409.
458	Khirokitia	KHIR	Miller, N. F. (1984). Some plant remains from Khirokitia, Cyprus: 1977 and 1978 excavations. Fouilles recentes a Khirokitia (Chypre) 1977 - 1981. A. Le Brun. Paris, Éditions A.D.P.F. 2 tomes: 183 - 188.
458	Khirokitia	KHIR	"Waines, J. G. and N. P. Stanley Price (1977). ""Plant remains from Khirokitia in Cyprus"". Paléorient 3:281 - 284."
462	Kinet Höyük	KIH	"Hynd, A. (1997). ""A model of local continuity: The 1995 archaeobotanical assemblage from Kinet Höyük, Hatay."" Unpublished M.Sc. thesis, University of Sheffield"
462	Kinet Höyük	KIH	"Nesbitt, M. and D. Samuel (1996). ""Archaeobotany in Turkey: a review of current research."" Orient Express 1996(3): 91 - 96."
462	Kinet Höyük	KIH	"Çakirlar, C. (2003). Animal exploitation at Kinet Höyük during the first half of the Late Iron Age. Beirut."
466	Kish	KISH	Field, H., 1932, Ancient wheat and barley from Kish, Mesopotamia. American Anthropologist 34(2):303-309.
467	Kissonerga	KISS	Murray, M. A. (1998). Chapter 11: Archaeobotanical report. Excavations at Kissonerga-Mosphilia, 1979-1992. Vol. II.1A (Part 1). Lemba Archaeological Project, Cyprus. E. Peltenburg. Jonsered, Aström: 215-223.
468	Kissufim Road	KR	Kislev, M. and Y. Melamed (2002). The burnt plants. Kissufim Road. A Chalcolithic mortuary site. Y. Goren and P. Fabian. Jerusalem, Israel Antiquities Authority.
470	Knossos	KNO	Vollständiges Literaturzitat zu [Renfrew, 1979 #6333], d. h. nach Richtlinien mit Erscheinungsort, Seitenangabe usw.
473	Kom el-Hisn	KEH	"Moens, M.-F. and W. Wetterstrom (1988). ""The agricultural economy of an Old Kingdom town in Egypt's west delta: insights from the plant remains."" Journal of Near Eastern Studies 47: 159 - 173."
475	Kom Rab'ia	KRAB	"Giddy, L., D. Jeffreys and J. Málek (1990). Memphis 1989 [with a contribution ""Archaeobotany"" by Murray, M. A.]. Journal of Egyptian Archaeology 76:14."
475	Kom Rab'ia	KRAB	"Giddy, L. and D. Jeffreys (1992). Memphis 1991 [with a contribution ""Archaeobotany"" by Murray, M. A.]. Journal of Egyptian Archaeology 78:6"
475	Kom Rab'ia	KRAB	"Giddy, L. and D. Jeffreys (1993). Memphis 1992 [with a contribution ""Archaeobotany"" by Murray, M. A.]. Journal of Egyptian Archaeology 79:12."
476	Kommos	KOM	Shay, T., J. M. Shay, et al. (1995). The modern flora and plant remains from Bronze Age deposits at Kommos. Kommos I, part I. An excavation on the South coast of Crete. J. Shaw and M. Shaw. Princeton: 91-162.
1000	Konar Sandal	KONSAL	Mashkour, M., Tengberg, M., Shirazi, Z., Madjidzadeh, Y. (2013). Bio-archaeological studies at Konar Sandal, Halil Rud basin, southeastern Iran. Journal of Environmental Archaeology Vol. 18, No. 3, 222-246.
480	Körtik Tepe	KÖT	"Arbuckle, B. S. and Özkaya, V. (2006). Animal Exploitation at Körtik Tepe: An Early Aceramic Neolithic Site in Southeastern Turkey. Paléorient 32/2: 113-136."
481	Korucutepe	KOR	van Zeist, W. and J. A. H. Bakker-Heeres (1975). Prehistoric and early historic plant husbandry in the Altinova Plain, southeastern Turkey. Korucutepe 1. M. N. van Loon. Amsterdam, North-Holland: 221-257.
481	Korucutepe	KOR	"Boessneck, J. und von den Driesch, A. (1975). Tierknochenfunde vom Korucutepe bei Elâzig in Ostanatolien. In: van Loon, M. N. (ed.). Korucutepe. North Holland publishing Company Amsterdam, Oxford; American Elsevier publishing Company, inc., New York: 1-220. "
483	Kosak Shamali	KS	Willcox, G. (2003). Chalcolithic carbonised cereals from Ubaid burnt storage structures at Kosak Shamali. In Tell Kosak Shamali Vol. II, , Monograph, edited by Y. Nishiaki and T. Matsutani, pp. 267-27. University Museum the University of Tokyo
483	Kosak Shamali	KS	"Gourichon, L. and Helmer, D. (2003). Preliminary analysis of the faunal remains from Tell Kosak Shamali (Syria): Squares AD5, AE5, AF5, BD6 and BE6. In: Nishiaki, Y. und Matsunani, T. (eds.): Tell Kosak Shamali. The Archaeological Investigations on the Upper Euphrates , Syria. Vol. II. Chalcolithic Technology and Subsistence. Tokyo: 273-282."
1013	Kouphovouno	KOUP	"Rivals, F.; Gardeisen, A.; Cantuel, J. (2011). Domestic and wild ungulate dietary traits at Kouphovouno (Sparta, Greece): implications for livestock management and paleoenvironment in the Neolithic. Journal of Archaeological Science 38, pp. 528-537."
992	Küllüoba	KÜLL	"Gündem, C. Y. (2010). Animal based economy in Troia and the Troas during the Maritime Troy Culture (ca. 3000-2200 BC). A general summary for West Anatolia. Dissertation. Eberhard Karls Universität. Tübingen. "
1039	Kültepe-Kanesh	KANE	"Atici, L. (2014). Food and Ethnicity at Kültepe-Kanesh: Preliminary Zooarchaeological Evidence. In: Atici, L.; Kulakoğlu, F.; Barjamovic, G. and Fairbairn, A. Current Research at Kültepe-Kanish - An Interdisziplinary and Integrative Approach to Trade Networks, Internationalism and Identity. Atlanta, Lockwood Press: 195-211"
489	Kumtepe	KU	Riehl, S. (1999). Bronze Age environment and economy in the Troad: the archaeobotany of Kumtepe and Troy. Tübingen, Mo Vince Verlag.
489	Kumtepe	KU	"Riehl, S. (1999). ""Archäobotanik in der Troas"". Studia Troica 9:367 - 409."
1021	Kuntillet 'Ajrud	KAJ	Liphschitz, N. (2012). The Botanical Remains. Chapter 13. In: Kuntillet 'Ajrud (Horvat Teman). An Iron Age II Religious Site on the Judah-Sinai Border. Ze'ev Meshel. Israel Exploration Society, Jerusalem
492	Kurban Höyük	KUH	"Miller, N. F. (1986). ""Vegetation and land use [in: ""The Chicago Euphrates Archaeological Project"", by L. Marfoe et al.]."" Anatolica 13: 85-89; 119-120."
492	Kurban Höyük	KUH	Wilkinson, T. J. (1990). Town and Country in southeastern Anatolia. Settlement and Land Use at Kurban Höyük and Other Sites in the lower Karababa Basin. Chicago, University of Chicago.
492	Kurban Höyük	KUH	"Wattenmaker, P. (1998). Household and State in Upper Mesopotamia. Spezialized Economy and the Social Uses of Goods in an Early Complex Society. Washington and London."
494	Kuruçay Höyük	KUR	Nesbitt, M. (1996). Chalcolithic crops from Kuruçay Höyük: an interim report. Kuruçay Höyük II. Results of the excavations 1978 - 1988. The Late Chalcolithic and Early Bronze settlements. R. Duru. Ankara, Türk Tarih Kurumu Basimevi: 134 - 144.
494	Kuruçay Höyük	KUR	Nesbitt, M. (in press). A preliminary report on the plant remains from Kuruçay. Kuruçay II. R. Duru. Ankara, Türk Tahrih Kurumu.
494	Kuruçay Höyük	KUR	Nesbitt, M. (in press). Chalcolithic crops from Kuruçay Höyük, Western Turkey: 46.
496	Kusakli	KUS	"Pasternak, R. (1998). ""Übersicht über die Ergebnisse der archäobotanischen Arbeiten in Kusakli 1994 - 1997 und ein Interpretationsansatz zu den Befunden."" Mitteilungen der Deutschen Orient-Gesellschaft zu Berlin 130: 160 - 170; 171 - 174."
496	Kusakli	KUS	"Pasternak, R. (2000). ""Archäobotanische Arbeiten 1999: Die Bearbeitung eines Massenfundes von Gersten im Nordflügel des Gebäudes C."" Mitteilungen der Deutschen Orient-Gesellschaft zu Berlin 132: 348 - 351."
496	Kusakli	KUS	Segschneider, M. (1995). Pflanzliche Großreste. Untersuchungen in Kusakli 1992 - 94. A. Müller-Karpe. 127: 27 - 30.
504	Lachish	LH	Helbaek, H. (1958). Plant economy in ancient Lachish. Lachish IV: The Bronze Age. O. Tufnell. London: 309 - 317.
504	Lachish	LH	Liphschitz, N. and Y. Waisel (1975). Analysis of the botanical material. Lachish V. Investigations at Lachish. The sanctuary and the residency. Y. Aharoni. Tel Aviv, Gateway: 104.
518	Larsa	L	Neef, R. (1989). III.a Plants. Picking up the threads... A continuing review of excavations at Deir Alla, Jordan. G. v. d. Kooij and M. M. Ibrahim. Leiden, University of Leiden, Archaeological Centre: 30 - 37.
520	Lefkandi	LEF	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
522	Lemba-Lakkous	LL	Colledge, S. (1985). The plant remains. Excavations at Lemba Lakkous, 1976-1983. Lemba Archaeological Project. E. Peltenburg. Göteborg, Paul Aström. I: 101-102; 209-211.
523	Lerna	LER	"Hopf, M. (1961). ""Pflanzenfunde aus Lerna / Argolis."" Züchter 31: 239 - 247."
523	Lerna	LER	Hopf, M. (1962) Nutzpflanzen vom Lernäischen Golf. Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz 9:1 - 19.
527	Liliana	LIL	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
535	Maadi	MD	Kroll, H. (1989). Die Pflanzenfunde von Maadi. Maadi III. The non-lithic small finds and the structural remains of the Predynastic settlement. I. Rizkana and J. Seeher. Mainz, Philipp von Zabern. 80: 129 - 136.
535	Maadi	MD	"van Zeist, W. and G. de Roller (1993). ""Plant remains from Maadi, a Predynastic site in Lower Egypt."" Vegetation History & Archaeobotany 2: 1 - 14."
535	Maadi	MD	van Zeist, W., de Roller, G. J. and Fahmy, A. G. 2003. An Archaeobotanical study of Maadi, a Predynastic site in Lower Egypt. Chapter 7 in: van Zeist, W. (ed.) Reports on Archaeobotanical Studies in the Old World. pp 167-207. Groningen, The Groningen Institute of Archeology, Univerity of Groningen
540	Mahmudiya	M	van Zeist, W. (1991). Lower Mesopotamian plant remains from the fourth century BC and the first/second century AD. Northern Akkad Project reports. Volume 5. L. de Meyer and H. Gasche. Ghent, University of Ghent: 61-69.
1007	Makri	MAKRI	"Valamoti, S. (2004). ""Plants and people in Late Neolithic and Early Bronze Age Northern Greece. An archaeobotanical investigation"", Archaeopress, Oxford."
1006	Makriyalos	MAKRY	"Valamoti, S. (2004). ""Plants and people in Late Neolithic and Early Bronze Age Northern Greece. An archaeobotanical investigation"", Archaeopress, Oxford."
546	Mallia	MAL	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
547	Malyan	MALY	Miller, N. F. (1982). Economy and environment of Malyan, a third millennium B.C. urban center in southern Iran. Ph.D., University of Michigan
547	Malyan	MALY	"Miller, N. F. (1985). ""Palaeoethnobotanical evidence for deforestation in ancient Iran: A case study of urban Malyan."" Journal of Ethnobiology 5(1): 1 - 19."
547	Malyan	MALY	Miller, N. F. (1996). Palaeoethnobotany. Excavations at Anshan (Tal-e Malyan): the Middle Elamite period. E. Carter. Philadelphia, PA, University Museum: 99-108.
548	Manahat	MT	Kislev, M. E. (1998). The relative impact of pig husbandry versus goat browsing on ancient oak forests in Israel. The Rephaim Valley Project. Villages, terraces, and stone mounds. Excavations at Manahat, Jerusalem, 1987-1989. G. Edelstein, I. Milevski and S. Aurant. Jerusalem, Israel Antiquities Authority: 113 - 118.
559	Marki-Alonia	MA	Adams, R. and D. Simmons (1996). B. Archaeobotanical remains. Marki Alonia. An early and middle Bronze Age town in Cyprus. Excavations 1990 - 1994. D. Frankel and J. M. Webb. 123 (1): 223 - 226; 321 - 323; 234 - 252.
560	Marmariani	MAR	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
563	Masada	MAS	"Liphschitz, N. and S. Lev-Yadun (1989). ""The botanical remains from Masada: identification of the plant species and the possible origin of the remnants."" Bulletin of the American Schools of Oriental Research 274: 27-32."
1011	Megiddo	MEG	Borojevic, K. (2006). The Archaeobotanical Finds. In: Megiddo IV. The 1998-2002 Seasons, Chapter 27. Finkelstein, I., Ussishkin, D., Halpern, B. (ed.). Tel Aviv University, Sonia and Marco Nadler Institute of Archaeology. Monograph Series No. 24. Emery and Claire Yass Publications in Archaeology, Tel Aviv.
1011	Megiddo	MEG	"Sasson, A. (2013). Faunal Remains from the Iron Age Levels. In: Finkelstein, I., Ussishkin, D., Cline, E. H. (eds.). Megiddo V - The 2004-2008 Seasons. Volume III, Chapter 27, pp. 1131-1209."
1011	Megiddo	MEG	"Wapnish, P. and Hesse, B. (2006). Mammal Remains from the Early Bronze Sacred Compound. In: Finkelstein, I., Ussishkin, D. and Halpern, B. (eds.). Megiddo III - The 1992-1996 Seasons. Part Three: Environmental and Physical Studies. Chapter 14, pp. 429-462."
573	Menelaion	MEN	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
1042	Menteşe	MENT	"Gourichon, L. and Helmer, D. (2008). Etude De La Faune Neolithique de Menteşe. In: Roodenberg, J. and Roodenberg, S. A. Roodenberg. Life and Death in a Prehistoric Settelement in Northwest Anatolia - The Ilipinar Excavations, Volume III. With contributions on Hacılartepe and Menteşe. Leiden, pp. 435-448 "
578	Merv	MV	"Nesbitt, M. (1993). ""Archaeobotanical remains."" Iran 31: 56-58."
578	Merv	MV	"Nesbitt, M. (1994). ""Archaeobotanical research in the Merv Oasis."" Iran 32: 71-73."
583	Mezraa Hoyük	MH	"Oybak Dönmez, E. (2006). ""Prehistoric and Medieval plant remains from two sites on the Euphrates, south-eastern Turkey"". Turkish Journal of Botany 30:11-38."
583	Mezraa Hoyük	MH	"Ilgezdi, G. (2008). The Domestication Process in Southeastern Turkey: The Evidence of Mezraa-Teleilat. Dissertation, Eberhard-Karls Universität Tübingen."
585	Miletos (Kalabaktepe/Zeytintepe)	MS	"Stika, H.-P. (1997). ""Pflanzenreste aus dem archaischen Milet. Vorbericht zur Kampagne 1992."" Archäologischer Anzeiger 1997(2): 157 - 163."
585	Miletos (Kalabaktepe/Zeytintepe)	MS	"Peters, J. (1993). Archaic Milet: daily life and religious customs from an archaeozoological perspective. Archaeozoology of the Near East - Proceedings of the first international symposium on the archaeozoology of southwestern Asia and adjacent areas. Leiden, pp. 88-96"
590	Moa	MOA	Liphschitz, N. (1989). Plant economy and diet in the Early Bronze Age in Israel: A summary of present research. L'urbanisation de la Palestine a l'age du Bronze ancien. Bilan et perspectives des recherches actuelles. P. d. Miroschedji. Oxford. 527: 269 - 277.
1050	Müslümantepe	MUSL	"Berthon, R. (2013). New data on the exploitation of animal resources in the Upper Tigris River area (Turkey) during the second and first millenia BC. Archaeozoology of the Near East X, pp. 145-161."
596	Mycenae	MYC	Willerding, U. (1973). Bronzezeitliche Pflanzenreste aus Iria und Synoro. Tiryns. Forschungen und Berichte. H. B. Siedentopf and e. al. Mainz, D.A.I. Athen. 6: 221 - 240, plate 67.
597	Mylouthkia	MYL	Colledge, S. (2003). Plants and people. Excavations at Tell Brak. Exploring an Upper Mesopotamian regional centre, 1994-1996. R. Matthews. Cambridge, Oxbow. 4: 389-416.
