"ProjectTaxon","Family","Genus","IDtype","DomProgWild"
"Medicago laciniata","Fabaceae","Medicago","Single ID","Wild"
"Medicago minima","Fabaceae","Medicago","Single ID","Wild"
"Medicago polymorpha","Fabaceae","Medicago","Single ID","Wild"
"Medicago radiata","Fabaceae","Medicago","Single ID","Wild"
"Medicago/Trifolium","Fabaceae","Medicago/Trifolium","Multi ID","Wild"
"Melica persica","Poaceae","Melica","Single ID","Wild"
"Melilotus","Fabaceae","Melilotus","Single ID","Wild"
"Melilotus indicus","Fabaceae","Melilotus","Single ID","Wild"
"Melilotus/Trifolium","Fabaceae","Melilotus/Trifolium","Multi ID","Wild"
"Mercurialis annua","Euphorbiaceae","Mercurialis","Single ID","Wild"
"Mesembryanthemum nodiflorum","Aizoaceae","Mesembryanthemum","Single ID","Wild"
"Micromeria","Lamiaceae","Micromeria","Single ID","Wild"
"Minuartia","Caryophyllaceae","Minuartia","Single ID","Wild"
"Minuartia rubella","Caryophyllaceae","Minuartia","Single ID","Wild"
"Moltkia coerulea","Boraginaceae","Moltkia","Single ID","Wild"
"Moraceae","Moraceae","Above Genus ID","Single ID","Wild"
"Muscari","Liliaceae","Muscari","Single ID","Wild"
"Muscari/Ornithogalum","Liliaceae/Asparagaceae","Muscari/Ornithogalum","Multi ID","Wild"
"Nepeta","Lamiaceae","Nepeta","Single ID","Wild"
"Neslia","Brassicaceae","Neslia","Single ID","Wild"
"Neslia paniculata/apiculata","Brassicaceae","Neslia","Multi ID","Wild"
"Nigella","Ranunculaceae","Nigella","Single ID","Wild"
"Nitraria schoberi","Nitrariaceae","Nitraria","Single ID","Wild"
"Noaea mucronata/Salsola","Amaranthaceae","Noaea","Multi ID","Wild"
"Notobasis syriaca","Asteraceae","Notobasis","Single ID","Wild"
"Olea","Oleaceae","Olea","Single ID","Wild"
"Olea europea","Oleaceae","Olea","Single ID","Wild"
"Onobrychis","Fabaceae","Onobrychis","Single ID","Wild"
"Onobrychis crista-galli","Fabaceae","Onobrychis","Single ID","Wild"
"Ononis","Fabaceae","Ononis","Single ID","Wild"
"Ononis serrata","Fabaceae","Ononis","Single ID","Wild"
"Onopordum","Asteraceae","Onopordum","Single ID","Wild"
"Onosma albo-roseum","Boraginaceae","Onosma","Single ID","Wild"
"Onosma gigantea","Boraginaceae","Onosma","Single ID","Wild"
"Onosma orientalis","Boraginaceae","Onosma","Single ID","Wild"
"Ornithogalum","Asparagaceae","Ornithogalum","Single ID","Wild"
"Paniceae","Poaceae","Paniceae","Single ID","Wild"
"Panicoid","Poaceae","Above Genus ID","Single ID","Wild"
"Panicum","Poaceae","Panicum","Single ID","Wild"
"Panicum/Setaria","Poaceae","Panicum/Setaria","Multi ID","Wild"
"Papaver","Papaveraceae","Papaver","Single ID","Wild"
"Papaver setigerum","Papaveraceae","Papaver","Single ID","Wild"
"Papaveraceae","Papaveraceae","Above Genus ID","Single ID","Wild"
"Parenchyma",,"Above Genus ID","Single ID","Wild"
"Peganum harmala","Nitrariaceae","Peganum","Single ID","Wild"
"Phalaris","Poaceae","Phalaris","Single ID","Wild"
"Phalaris paradoxa","Poaceae","Phalaris","Single ID","Wild"
"Phalaris tuberosa","Poaceae","Phalaris","Single ID","Wild"
"Phleum","Poaceae","Phleum","Single ID","Wild"
"Phlomis","Lamiaceae","Phlomis","Single ID","Wild"
"Phoenix theophrasti","Arecaceae","Phoenix","Single ID","Wild"
"Phragmites australis","Poaceae","Phragmites","Single ID","Wild"
"Pinus halepensis","Pinaceae","Pinus","Single ID","Wild"
"Piptatherum","Poaceae","Piptatherum","Single ID","Wild"
"Piptatherum holciforme","Poaceae","Piptatherum","Single ID","Wild"
"Piptatherum miliaceum","Poaceae","Piptatherum","Single ID","Wild"
"Pistacia","Anacardiaceae","Pistacia","Single ID","Wild"
"Pistacia atlantica","Anacardiaceae","Pistacia","Single ID","Wild"
"Pistacia atlantica/khinjuk","Anacardiaceae","Pistacia","Multi ID","Wild"
"Pistacia atlantica/palaestina","Anacardiaceae","Pistacia","Multi ID","Wild"
"Pistacia atlantica/terebinthus","Anacardiaceae","Pistacia","Multi ID","Wild"
"Pistacia lentiscus","Anacardiaceae","Pistacia","Single ID","Wild"
"Pistacia palaestina","Anacardiaceae","Pistacia","Single ID","Wild"
"Pistacia terebinthus","Anacardiaceae","Pistacia","Single ID","Wild"
"Pistacia/Celtis","Anacardiaceae/Ulmaceae","Pistacia/Celtis","Multi ID","Wild"
"Pisum","Fabaceae","Pisum","Single ID","Presumed Crop Domesticate/Progenitor"
"Pisum elatius","Fabaceae","Pisum","Single ID","Crop Progenitor"
"Pisum fulvum/Vicia narbonensis/peregrina","Fabaceae","Pisum","Multi ID","Wild"
"Pisum fulvum/Vicia palaestina","Fabaceae","Pisum","Multi ID","Wild"
"Pisum sativum","Fabaceae","Pisum","Single ID","Domesticated crop"
"Pisum/Vicia/Lathyrus","Fabaceae","Pisum/Vicia/Lathyrus","Multi ID","Presumed Crop Domesticate/Progenitor"
"Plantago","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago amplexicaulis","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago coronopus","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago lagopus","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago lanceolata","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago major","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago notata/ovata","Plantaginaceae","Plantago","Multi ID","Wild"
"Plantago ovata","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago ovata/lanceolata","Plantaginaceae","Plantago","Multi ID","Wild"
"Plantago psyllium","Plantaginaceae","Plantago","Single ID","Wild"
"Plantago squarrosa","Plantaginaceae","Plantago","Single ID","Wild"
"Poa","Poaceae","Poa","Single ID","Wild"
"Poa bulbosa","Poaceae","Poa","Single ID","Wild"
"Poa bulbosa ssp. Vivipara","Poaceae","Poa","Single ID","Wild"
"Poaceae","Poaceae","Above Genus ID","Single ID","Wild"
"Poaceae (small-seeded)","Poaceae","Above Genus ID","Single ID","Wild"
"Polygonaceae","Polygonaceae","Above Genus ID","Single ID","Wild"
"Polygonatum","Asparagaceae","Polygonatum","Single ID","Wild"
"Polygonum","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum aviculare","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum convolvulus","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum corrigioloides","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum lapathifolium","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum persicaria","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum venantianum","Polygonaceae","Polygonum","Single ID","Wild"
"Polygonum/Rumex","Polygonaceae","Polygonum/Rumex","Multi ID","Wild"
"Portulaca","Portulacaceae","Portulaca","Single ID","Wild"
"Portulaca oleracea","Portulacaceae","Portulaca","Single ID","Wild"
"Potamogeton","Potamogetonaceae","Potamogeton","Single ID","Wild"
"Potamogeton pectinatus","Potamogetonaceae","Potamogeton","Single ID","Wild"
"Potentilla","Rosaceae","Potentilla","Single ID","Wild"
"Primulaceae","Primulaceae","Above Genus ID","Single ID","Wild"
"Prosopis","Fabaceae","Prosopis","Single ID","Wild"
"Prosopis farcta","Fabaceae","Prosopis","Single ID","Wild"
"Prosopis/Citrullus","Fabaceae/Cucurbitaceae","Prosopis/Citrullus","Multi ID","Wild"
"Prunus","Rosaceae","Prunus","Single ID","Wild"
"Prunus argentea","Rosaceae","Prunus","Single ID","Wild"
"Prunus divaricata","Rosaceae","Prunus","Single ID","Wild"
"Prunus divaricata/argentea","Rosaceae","Prunus","Multi ID","Wild"
"Prunus dulcis","Rosaceae","Prunus","Single ID","Wild"
"Prunus dulcis/korshinskyi","Rosaceae","Prunus","Multi ID","Wild"
"Prunus microcarpa","Rosaceae","Prunus","Single ID","Wild"
"Prunus spinosa","Rosaceae","Prunus","Single ID","Wild"
"Prunus webbii/argentea","Rosaceae","Prunus","Multi ID","Wild"
"Psilurus","Poaceae","Psilurus","Single ID","Wild"
"Psilurus incurvus","Poaceae","Psilurus","Single ID","Wild"
"Psilurus/Parapholis","Poaceae","Psilurus/Parapholis","Multi ID","Wild"
"Puccinellia convoluta","Poaceae","Puccinellia","Single ID","Wild"
"Punica","Lythraceae","Punica","Single ID","Wild"
"Punica granatum","Lythraceae","Punica","Single ID","Wild"
"Pyrus","Rosaceae","Pyrus","Single ID","Wild"
"Pyrus syriaca","Rosaceae","Pyrus","Single ID","Wild"
"Pyrus/Malus","Rosaceae","Pyrus/Malus","Multi ID","Wild"
"Quercus","Fagaceae","Quercus","Single ID","Wild"
"Quercus bruntii/boissieri/libant","Fagaceae","Quercus","Multi ID","Wild"
"Quercus ithaburensis","Fagaceae","Quercus","Single ID","Wild"
"Ranunculus","Ranunculaceae","Ranunculus","Single ID","Wild"
"Ranunculus acris","Ranunculaceae","Ranunculus","Single ID","Wild"
"Ranunculus sceleratus","Ranunculaceae","Ranunculus","Single ID","Wild"
"Raphanus raphanistrum","Brassicaceae","Raphanus","Single ID","Wild"
"Reboudia pinnata","Brassicaceae","Reboudia","Single ID","Wild"
"Reseda","Resedaceae","Reseda","Single ID","Wild"
"Reseda lutea","Resedaceae","Reseda","Single ID","Wild"
"Retama raetam","Fabaceae","Retama","Single ID","Wild"
"Rhus coriaria","Anacardiaceae","Rhus","Single ID","Wild"
"Rosa","Rosaceae","Rosa","Single ID","Wild"
"Rosaceae","Rosaceae","Above Genus ID","Single ID","Wild"
"Rubiaceae","Rubiaceae","Above Genus ID","Single ID","Wild"
"Rubus","Rosaceae","Rubus","Single ID","Wild"
"Rubus sanguineus","Rosaceae","Rubus","Single ID","Wild"
"Rubus sanguineus/canescens","Rosaceae","Rubus","Multi ID","Wild"
"Rumex","Polygonaceae","Rumex","Single ID","Wild"
"Rumex acetocella","Polygonaceae","Rumex","Single ID","Wild"
"Rumex pulcher","Polygonaceae","Rumex","Single ID","Wild"
"Ruppia cirrhosa/maritima","Ruppiaceae","Ruppia","Multi ID","Wild"
"Salsola","Amaranthaceae","Salsola","Single ID","Wild"
"Salsola kali","Amaranthaceae","Salsola","Single ID","Wild"
"Salsola/Suaeda","Amaranthaceae","Salsola/Suaeda","Multi ID","Wild"
"Salsoleae","Amaranthaceae","Above Genus ID","Single ID","Wild"
"Salvia cryptantha","Lamiaceae","Salvia","Single ID","Wild"
"Saponaria","Caryophyllaceae","Saponaria","Single ID","Wild"
"Schoenoplectus","Cyperaceae","Schoenoplectus","Single ID","Wild"
"Schoenoplectus triquetius","Cyperaceae","Schoenoplectus","Single ID","Wild"
"Schoenus nigricans","Cyperaceae","Schoenus","Single ID","Wild"
"Scirpus","Cyperaceae","Scirpus","Single ID","Wild"
"Scirpus lacustris","Cyperaceae","Scirpus","Single ID","Wild"
"Scirpus littoralis","Cyperaceae","Scirpus","Single ID","Wild"
"Scirpus tabernaemontani","Cyperaceae","Scirpus","Single ID","Wild"
"Scleranthus","Caryophyllaceae","Scleranthus","Single ID","Wild"
"Scorpiurus","Fabaceae","Scorpiurus","Single ID","Wild"
"Scorpiurus muricatus","Fabaceae","Scorpiurus","Single ID","Wild"
"Scrophularia","Scrophulariaceae","Scrophularia","Single ID","Wild"
"Scrophulariaceae","Scrophulariaceae","Above Genus ID","Single ID","Wild"
"Secale","Poaceae","Secale","Single ID","Presumed Crop Domesticate/Progenitor"
"Secale cereale","Poaceae","Secale","Single ID","Domesticated crop"
"Secale cereale ssp. Segetale","Poaceae","Secale","Single ID","Wild"
"Secale cereale ssp.vavilovii","Poaceae","Secale","Single ID","Wild"
"Secale montanum","Poaceae","Secale","Single ID","Crop Progenitor"
"Secale montanum/cereale var vavilovii","Poaceae","Secale","Multi ID","Progenitor/Wild"
"Secale montanum/cereale var vavilovii/Hordeum","Poaceae","Secale","Multi ID","Crop Domesticate/Progenitor"
"Senecio glaucus","Asteraceae","Senecio","Single ID","Wild"
"Setaria","Poaceae","Setaria","Single ID","Wild"
"Setaria/Digitaria","Poaceae","Setaria/Digitaria","Multi ID","Wild"
"Sherardia","Rubiaceae","Sherardia","Single ID","Wild"
"Sherardia arvensis","Rubiaceae","Sherardia","Single ID","Wild"
"Sideritis","Lamiaceae","Sideritis","Single ID","Wild"
"Silene","Caryophyllaceae","Silene","Single ID","Wild"
"Silene aegyptiaca","Caryophyllaceae","Silene","Single ID","Wild"
"Silene arabica","Caryophyllaceae","Silene","Single ID","Wild"
"Silene colorata","Caryophyllaceae","Silene","Single ID","Wild"
"Silene dichotoma","Caryophyllaceae","Silene","Single ID","Wild"
"Silene/Gypsophila","Caryophyllaceae","Silene","Multi ID","Wild"
"Silybum marianum","Asteraceae","Silybum","Single ID","Wild"
"Sisymbrium","Brassicaceae","Sisymbrium","Single ID","Wild"
"Solanaceae","Solanaceae","Above Genus ID","Single ID","Wild"
"Solanum","Solanaceae","Solanum","Single ID","Wild"
"Solanum dulcamara","Solanaceae","Solanum","Single ID","Wild"
"Solanum nigrum","Solanaceae","Solanum","Single ID","Wild"
"Sophora","Fabaceae","Sophora","Single ID","Wild"
"Spergularia","Caryophyllaceae","Spergularia","Single ID","Wild"
"Spergularia arvensis","Caryophyllaceae","Spergularia","Single ID","Wild"
"Sporobolus","Poaceae","Sporobolus","Single ID","Wild"
"SSLEG","Fabaceae","Astragalus/Medicago/Melilotus/Ononis/Trifolium/Trigonella","Single ID","Wild"
"Stachys","Lamiaceae","Stachys","Single ID","Wild"
"Stellaria","Caryophyllaceae","Stellaria","Single ID","Wild"
"Stipa","Poaceae","Stipa","Single ID","Wild"
"Stipa barbata/lagascae","Poaceae","Stipa","Multi ID","Wild"
"Stipa capensis","Poaceae","Stipa","Single ID","Wild"
"Stipa gigantea","Poaceae","Stipa","Single ID","Wild"
"Stipa lagascae/hohenackeriana/barbata","Poaceae","Stipa","Multi ID","Wild"
"Stipa parviflora/capensis","Poaceae","Stipa","Multi ID","Wild"
"Stipa/Stipagrostis","Poaceae","Stipa/Stipagrostis","Multi ID","Wild"
"Stipagrostis obtusa","Poaceae","Stipagrostis","Single ID","Wild"
"Stipagrostis plumosa","Poaceae","Stipagrostis","Single ID","Wild"
"Styrax officinalis","Styracaceae","Styrax","Single ID","Wild"
"Suaeda","Amaranthaceae","Suaeda","Single ID","Wild"
"Suaeda fruticosa","Amaranthaceae","Suaeda","Single ID","Wild"
"Suaeda palaestina","Amaranthaceae","Suaeda","Single ID","Wild"
"Suaeda palaestina/fruticosa","Amaranthaceae","Suaeda","Multi ID","Wild"
"Suaeda/Scirpus maritimus","Amaranthaceae/Cyperaceae","Suaeda/Scirpus","Multi ID","Wild"
"Taeniatherum","Poaceae","Taeniatherum","Single ID","Wild"
"Taeniatherum caput-medusae","Poaceae","Taeniatherum","Single ID","Wild"
"Taeniatherum caput-medusae/crinitum","Poaceae","Taeniatherum","Multi ID","Wild"
"Teucrium","Lamiaceae","Teucrium","Single ID","Wild"
"Teucrium botrys","Lamiaceae","Teucrium","Single ID","Wild"
"Thlaspi","Brassicaceae","Thlaspi","Single ID","Wild"
"Thymelaea","Thymelaeaceae","Thymelaea","Single ID","Wild"
"Thymelaea hirsuta","Thymelaeaceae","Thymelaea","Single ID","Wild"
"Thymelaea passerina","Thymelaeaceae","Thymelaea","Single ID","Wild"
"Thymelaeaceae","Thymelaeaceae","Thymelaea","Single ID","Wild"
"Torilis","Apiaceae","Torilis","Single ID","Wild"
"Torilis nodosa","Apiaceae","Torilis","Single ID","Wild"
"Torularia torulosa","Brassicaceae","Torularia","Single ID","Wild"
"Tragopogon","Asteraceae","Tragoporon","Single ID","Wild"
"Tragus","Poaceae","Tragus","Single ID","Wild"
"Tribulus terrestris","Zygophyllaceae","Tribulus","Single ID","Wild"
"Trifolieae","Fabaceae","Medicago/Melilotus/Ononis/Trifolium/Trigonella","Single ID","Wild"
"Trifolieae/Astragalus","Fabaceae","Astragalus/Medicago/Melilotus/Ononis/Trifolium/Trigonella","Multi ID","Wild"
"Trifolium","Fabaceae","Trifolium","Single ID","Wild"
"Trigonella","Fabaceae","Trigonella","Single ID","Wild"
"Trigonella arabica/schlumbergeri","Fabaceae","Trigonella","Multi ID","Wild"
"Trigonella astroites","Fabaceae","Trigonella","Single ID","Wild"
"Trigonella noeana","Fabaceae","Trigonella","Single ID","Wild"
"Trigonella sibthorpii","Fabaceae","Trigonella","Single ID","Wild"
"Triticum","Poaceae","Triticum","Single ID","Presumed Crop Domesticate/Progenitor"
"Triticum aestivocompactum","Poaceae","Triticum","Single ID","Domesticated crop"
"Triticum aestivocompactum/durocompactum","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum aestivum","Poaceae","Triticum","Single ID","Domesticated crop"
"Triticum aestivum/dicoccum","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum aestivum/durum","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum aestivum/monococcum","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum boeoticum","Poaceae","Triticum","Single ID","Crop Progenitor"
"Triticum boeoticum aegilopoides","Poaceae","Triticum","Single ID","Crop Progenitor"
"Triticum boeoticum thaoudar","Poaceae","Triticum","Single ID","Crop Progenitor"
"Triticum boeoticum/Aegilops","Poaceae","Triticum","Multi ID","Presumed Crop Domesticate/Progenitor"
"Triticum boeoticum/diccocoides/monococcum/dicoccum","Poaceae","Triticum","Multi ID","Crop Domesticate/Progenitor"
"Triticum boeoticum/dicoccoides","Poaceae","Triticum","Multi ID","Crop Progenitor"
"Triticum boeoticum/dicoccum","Poaceae","Triticum","Multi ID","Crop Domesticate/Progenitor"
"Triticum boeoticum/Secale","Poaceae","Triticum","Multi ID","Presumed Crop Domesticate/Progenitor"
"Triticum boeoticum/Secale montanum","Poaceae","Triticum","Multi ID","Crop Progenitor"
"Triticum boeoticum/Secale montanum/vavilovii","Poaceae","Triticum","Multi ID","Progenitor/Wild"
"Triticum boeoticum/urartu","Poaceae","Triticum","Multi ID","Progenitor/Wild"
"Triticum dicoccoides","Poaceae","Triticum","Single ID","Crop Progenitor"
"Triticum dicoccoides/dicoccum","Poaceae","Triticum","Multi ID","Crop Domesticate/Progenitor"
"Triticum dicoccum","Poaceae","Triticum","Single ID","Domesticated crop"
"Triticum dicoccum/durum","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum dicoccum/monococcum","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum dicoccum/spelta","Poaceae","Triticum","Multi ID","Domesticated crop"
"Triticum durum","Poaceae","Triticum","Single ID","Domesticated crop"
"Triticum monococcum","Poaceae","Triticum","Single ID","Domesticated crop"
"Triticum monococcum/boeoticum","Poaceae","Triticum","Multi ID","Crop Domesticate/Progenitor"
"Triticum parvicoccum","Poaceae","Triticum","Single ID","Wild"
"Triticum spelta","Poaceae","Triticum","Single ID","Domesticated crop"
"Triticum timopheevi","Poaceae","Triticum","Single ID","Wild"
"Triticum turgidum","Poaceae","Triticum","Single ID","Crop Domesticate/Progenitor"
"Triticum/Aegilops","Poaceae","Triticum/Aegilops","Multi ID","Presumed Crop Domesticate/Progenitor"
"Triticum/Hordeum","Poaceae","Triticum/Hordeum","Multi ID","Presumed Crop Domesticate/Progenitor"
"Triticum/Secale","Poaceae","Triticum/Secale","Multi ID","Crop progenitor"
"Typha","Typhaceae","Typha","Single ID","Wild"
"Umbelliferae","Apiaceae","Above Genus ID","Single ID","Wild"
"Unidentified",,"Above Genus ID","Single ID",".Indet"
"Urtica urens","Urticaceae","Urtica","Single ID","Wild"
"Urticaceae","Urticaceae","Above Genus ID","Multi ID","Wild"
"Vaccaria","Caryophyllaceae","Vaccaria","Single ID","Wild"
"Vaccaria pyramidata","Caryophyllaceae","Vaccaria","Single ID","Wild"
"Vaccaria segetalis","Caryophyllaceae","Vaccaria","Single ID","Wild"
"Valerianella","Valerianaceae","Valerianella","Single ID","Wild"
"Valerianella coronata","Valerianaceae","Valerianella","Single ID","Wild"
"Valerianella dentata","Valerianaceae","Valerianella","Single ID","Wild"
"Verbascum","Scrophulariaceae","Verbascum","Single ID","Wild"
"Verbena","Verbenaceae","Verbena","Single ID","Wild"
"Verbena officinalis","Verbenaceae","Verbena","Single ID","Wild"
"Vicia","Fabaceae","Vicia","Single ID","Wild"
"Vicia cuspidata/lathyroides","Fabaceae","Vicia","Multi ID","Wild"
"Vicia ervilia","Fabaceae","Vicia","Single ID","Domesticated crop"
"Vicia faba","Fabaceae","Vicia","Single ID","Domesticated crop"
"Vicia faba var. minuta","Fabaceae","Vicia","Single ID","Domesticated crop"
"Vicia faba/narbonense","Fabaceae","Vicia","Multi ID","Wild"
"Vicia laxiflora/tetrasperma","Fabaceae","Vicia","Multi ID","Wild"
"Vicia lutea/sativa/sericocarpa","Fabaceae","Vicia","Multi ID","Presumed Crop Domesticate/Progenitor"
"Vicia narbonense","Fabaceae","Vicia","Single ID","Wild"
"Vicia palaestina","Fabaceae","Vicia","Single ID","Wild"
"Vicia palaestina/sativa","Fabaceae","Vicia","Multi ID","Presumed Crop Domesticate/Progenitor"
"Vicia palaestina/villosa","Fabaceae","Vicia","Multi ID","Wild"
"Vicia peregrina","Fabaceae","Vicia","Single ID","Wild"
"Vicia pubescens","Fabaceae","Vicia","Single ID","Wild"
"Vicia sativa","Fabaceae","Vicia","Single ID","Domesticated crop"
"Vicia/Lathyrus","Fabaceae","Vicia/Lathyrus","Multi ID","Wild"
"Vicia/Pisum","Fabaceae","Vicia/Pisum","Multi ID","Wild"
"Viola","Violaceae","Viola","Single ID","Wild"
"Vitex agnus-castus","Lamiaceae","Vitex","Single ID","Wild"
"Vitis","Vitaceae","Vitis","Single ID","Presumed Crop Domesticate/Progenitor"
"Vitis sylvestris","Vitaceae","Vitis","Single ID","Wild"
"Vitis vinifera","Vitaceae","Vitis","Single ID","Wild"
"Vulpia","Poaceae","Vulpia","Single ID","Wild"
"Vulpia/Loliolum","Poaceae","Vulpia/Loliolum","Multi ID","Wild"
"Ziziphora","Lamiaceae","Ziziphora","Single ID","Wild"
"Ziziphora capitata","Lamiaceae","Ziziphora","Single ID","Wild"
"Ziziphora tenuir","Lamiaceae","Ziziphora","Single ID","Wild"
"Ziziphus spina-christi","Rhamnaceae","Ziziphus","Single ID","Wild"
"Zygophyllum fabago","Zygophyllaceae","Zygophyllum","Single ID","Wild"
